기업명,분기,변동성_일간,변동성_연율화,평균수익률,누적수익률,거래일수
롯데쇼핑,2025Q4,0.018127,0.2878,0.000402,0.0237,59
농심,2023Q1,0.015999,0.254,0.001212,0.0739,61
농심,2023Q2,0.021488,0.3411,0.000802,0.0489,61
농심,2023Q3,0.022894,0.3634,0.002785,0.1726,62
농심,2023Q4,0.018796,0.2984,-0.0023,-0.138,60
농심,2024Q1,0.013895,0.2206,-0.001629,-0.0994,61
농심,2024Q2,0.029964,0.4757,0.004715,0.2829,60
농심,2024Q3,0.019828,0.3148,-0.003857,-0.2391,62
농심,2024Q4,0.024616,0.3908,-0.000258,-0.0157,61
농심,2025Q1,0.023212,0.3685,0.001352,0.0784,58
농심,2025Q2,0.021665,0.3439,-0.000481,-0.0288,60
농심,2025Q3,0.03049,0.484,0.00146,0.0935,64
농심,2025Q4,0.018215,0.2892,3.9e-05,0.0023,59
신세계,2023Q1,0.016945,0.269,-0.000114,-0.0069,61
신세계,2023Q2,0.01279,0.203,-0.003125,-0.1906,61
신세계,2023Q3,0.021316,0.3384,0.001052,0.0652,62
신세계,2023Q4,0.01285,0.204,-0.000982,-0.0589,60
신세계,2024Q1,0.018151,0.2881,-0.000756,-0.0461,61
신세계,2024Q2,0.016271,0.2583,-0.00107,-0.0642,60
신세계,2024Q3,0.018759,0.2978,0.000225,0.0139,62
신세계,2024Q4,0.020781,0.3299,-0.002937,-0.1792,61
신세계,2025Q1,0.018827,0.2989,0.00106,0.0615,58
신세계,2025Q2,0.028287,0.449,0.005298,0.3179,60
신세계,2025Q3,0.019015,0.3019,-0.000108,-0.0069,64
신세계,2025Q4,0.025239,0.4007,0.004708,0.2777,59
KB금융,2023Q1,0.021772,0.3456,0.000192,0.0117,61
KB금융,2023Q2,0.013173,0.2091,0.000209,0.0127,61
KB금융,2023Q3,0.014782,0.2347,0.002512,0.1557,62
KB금융,2023Q4,0.018746,0.2976,-0.000366,-0.0219,60
KB금융,2024Q1,0.029791,0.4729,0.004701,0.2867,61
KB금융,2024Q2,0.025017,0.3971,0.002197,0.1318,60
KB금융,2024Q3,0.02764,0.4388,0.000644,0.04,62
KB금융,2024Q4,0.027658,0.4391,0.0004,0.0244,61
KB금융,2025Q1,0.017114,0.2717,-0.00066,-0.0383,58
KB금융,2025Q2,0.023666,0.3757,0.005815,0.3489,60
KB금융,2025Q3,0.023899,0.3794,0.000761,0.0487,64
KB금융,2025Q4,0.018644,0.296,0.001416,0.0836,59
삼성생명,2023Q1,0.012151,0.1929,-0.001873,-0.1142,61
삼성생명,2023Q2,0.010362,0.1645,0.001135,0.0692,61
삼성생명,2023Q3,0.013645,0.2166,0.000703,0.0436,62
삼성생명,2023Q4,0.010475,0.1663,0.000579,0.0347,60
삼성생명,2024Q1,0.033591,0.5332,0.004746,0.2895,61
삼성생명,2024Q2,0.025866,0.4106,-0.000701,-0.042,60
삼성생명,2024Q3,0.025487,0.4046,0.000835,0.0517,62
삼성생명,2024Q4,0.024988,0.3967,0.00103,0.0628,61
삼성생명,2025Q1,0.026361,0.4185,-0.002313,-0.1341,58
삼성생명,2025Q2,0.028815,0.4574,0.007162,0.4297,60
삼성생명,2025Q3,0.022384,0.3553,0.003224,0.2064,64
삼성생명,2025Q4,0.023174,0.3679,0.00067,0.0395,59
삼성화재,2023Q1,0.01522,0.2416,0.000942,0.0574,61
삼성화재,2023Q2,0.015528,0.2465,0.001807,0.1102,61
삼성화재,2023Q3,0.016352,0.2596,0.002008,0.1245,62
삼성화재,2023Q4,0.019899,0.3159,0.000159,0.0096,60
삼성화재,2024Q1,0.030839,0.4896,0.003287,0.2005,61
삼성화재,2024Q2,0.028502,0.4525,0.004,0.24,60
삼성화재,2024Q3,0.027429,0.4354,-0.001959,-0.1215,62
삼성화재,2024Q4,0.027952,0.4437,0.000653,0.0398,61
삼성화재,2025Q1,0.029161,0.4629,0.000811,0.047,58
삼성화재,2025Q2,0.024234,0.3847,0.003232,0.1939,60
삼성화재,2025Q3,0.022566,0.3582,0.000618,0.0395,64
삼성화재,2025Q4,0.051087,0.811,0.001627,0.096,59
기업은행,2023Q1,0.01284,0.2038,0.001073,0.0655,61
기업은행,2023Q2,0.007582,0.1204,0.000385,0.0235,61
기업은행,2023Q3,0.007779,0.1235,0.001303,0.0808,62
기업은행,2023Q4,0.009659,0.1533,0.000939,0.0564,60
기업은행,2024Q1,0.017802,0.2826,0.003252,0.1984,61
기업은행,2024Q2,0.012919,0.2051,0.00063,0.0378,60
기업은행,2024Q3,0.014244,0.2261,-5.8e-05,-0.0036,62
기업은행,2024Q4,0.013031,0.2069,0.000417,0.0254,61
기업은행,2025Q1,0.008206,0.1303,0.001094,0.0634,58
기업은행,2025Q2,0.014331,0.2275,0.004168,0.2501,60
기업은행,2025Q3,0.017233,0.2736,0.000995,0.0636,64
기업은행,2025Q4,0.012598,0.2,0.00125,0.0738,59
DB손해보험,2023Q1,0.020821,0.3305,0.002733,0.1667,61
DB손해보험,2023Q2,0.02203,0.3497,-6.6e-05,-0.004,61
DB손해보험,2023Q3,0.021066,0.3344,0.002919,0.181,62
DB손해보험,2023Q4,0.017385,0.276,-0.001098,-0.0659,60
DB손해보험,2024Q1,0.027081,0.4299,0.002908,0.1774,61
DB손해보험,2024Q2,0.02608,0.414,0.003164,0.1899,60
DB손해보험,2024Q3,0.030508,0.4843,-0.000313,-0.0194,62
DB손해보험,2024Q4,0.026432,0.4196,-0.001449,-0.0884,61
DB손해보험,2025Q1,0.020563,0.3264,-0.001323,-0.0767,58
DB손해보험,2025Q2,0.022578,0.3584,0.005508,0.3305,60
DB손해보험,2025Q3,0.019104,0.3033,0.001816,0.1162,64
DB손해보험,2025Q4,0.02175,0.3453,-0.000931,-0.0549,59
미래에셋증권,2023Q1,0.02105,0.3342,0.001266,0.0772,61
미래에셋증권,2023Q2,0.016782,0.2664,0.001846,0.1126,61
미래에셋증권,2023Q3,0.012521,0.1988,-0.001841,-0.1142,62
미래에셋증권,2023Q4,0.01893,0.3005,0.0028,0.168,60
미래에셋증권,2024Q1,0.025976,0.4124,0.001205,0.0735,61
미래에셋증권,2024Q2,0.019981,0.3172,-0.001605,-0.0963,60
미래에셋증권,2024Q3,0.02466,0.3915,0.002258,0.14,62
미래에셋증권,2024Q4,0.026219,0.4162,-0.000777,-0.0474,61
미래에셋증권,2025Q1,0.018742,0.2975,0.002728,0.1582,58
미래에셋증권,2025Q2,0.0437,0.6937,0.014163,0.8498,60
미래에셋증권,2025Q3,0.033398,0.5302,-7.3e-05,-0.0047,64
미래에셋증권,2025Q4,0.039824,0.6322,0.001518,0.0895,59
삼성카드,2023Q1,0.007704,0.1223,0.00083,0.0506,61
삼성카드,2023Q2,0.005647,0.0896,-0.00041,-0.025,61
